Unnamed: 0,국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,기후대,차량 구분 분류,총수출량,차종,GDP,대표 차량 구분,차량 구분,차종 구분,차량 브랜드
19.0,US,2498.0,2100.0,1695.0,1743.0,2428.0,2428.0,2360.0,1810.0,2560.0,2321.0,1721.0,2072.0,2023,온대,일반 차량,25736.0,Forte,29.17,승용차,세단,세단,
20.0,US,2064.0,2438.0,2017.0,2066.0,2095.0,2347.0,1768.0,2697.0,1888.0,1738.0,2094.0,2086.0,2023,온대,일반 차량,25298.0,K3,29.17,승용차,세단,세단,
21.0,US,1679.0,2471.0,2038.0,1730.0,2424.0,2602.0,1969.0,2573.0,2600.0,1656.0,2072.0,2239.0,2023,온대,일반 차량,26053.0,K3 (CKD),29.17,승용차,세단(CKD),세단(CKD),
22.0,US,2421.0,1990.0,2242.0,1551.0,2346.0,1718.0,2008.0,1861.0,2228.0,1666.0,2257.0,1970.0,2023,온대,일반 차량,24258.0,K4,29.17,승용차,세단,세단,
23.0,US,1880.0,1541.0,1735.0,2302.0,2249.0,2138.0,2324.0,1842.0,2000.0,1937.0,2284.0,2194.0,2023,온대,일반 차량,24426.0,K5 / Optima,29.17,승용차,세단,세단,
24.0,US,2027.0,1937.0,1972.0,1921.0,1690.0,2515.0,2777.0,2617.0,2080.0,1579.0,2300.0,2004.0,2023,온대,일반 차량,25419.0,"K7, K8 / Cadenza",29.17,승용차,세단,세단,
25.0,US,1953.0,2386.0,2125.0,2067.0,2012.0,1961.0,1948.0,2492.0,2089.0,2236.0,1982.0,1763.0,2023,온대,일반 차량,25014.0,"K7,8 / Cadenza",29.17,총합,세단,세단,
26.0,US,2314.0,1898.0,2167.0,1916.0,2060.0,2731.0,2107.0,1988.0,2390.0,1883.0,1808.0,1574.0,2023,온대,일반 차량,24836.0,K9,29.17,승용차,세단,세단,
27.0,US,2411.0,2453.0,2015.0,1621.0,2071.0,2187.0,2256.0,1945.0,1830.0,1624.0,2241.0,1721.0,2023,온대,일반 차량,24375.0,KX1,29.17,승용차,SUV,SUV,
28.0,US,2399.0,1533.0,2272.0,2073.0,1757.0,2000.0,2524.0,2464.0,1840.0,2317.0,1515.0,1939.0,2023,온대,일반 차량,24633.0,KX3,29.17,승용차,SUV,SUV,
29.0,US,2043.0,1614.0,1775.0,1989.0,1558.0,2271.0,2472.0,2389.0,2493.0,2417.0,2243.0,1831.0,2023,온대,일반 차량,25095.0,KX3 / Seltos,29.17,총합,SUV,SUV,
30.0,US,1862.0,1631.0,1850.0,1644.0,2028.0,2440.0,2542.0,2072.0,1868.0,1516.0,2469.0,1754.0,2023,온대,일반 차량,23676.0,KX5 / Sportage,29.17,승용차,SUV,SUV,
31.0,US,1989.0,1696.0,1968.0,1553.0,2290.0,2000.0,1824.0,2398.0,2071.0,1716.0,1633.0,1980.0,2023,온대,일반 차량,23118.0,KX7,29.17,승용차,SUV,SUV,
32.0,US,2376.0,1866.0,2171.0,1877.0,1582.0,2445.0,1702.0,2515.0,2378.0,1958.0,1794.0,2469.0,2023,온대,일반 차량,25133.0,Millitary,29.17,특수 차량,특수차,특수차,
33.0,US,1897.0,1921.0,1583.0,1825.0,2156.0,2026.0,2561.0,2445.0,1810.0,1607.0,2173.0,1762.0,2023,온대,일반 차량,23766.0,Millitary (CKD),29.17,특수 차량,특수차(CKD),특수차(CKD),
34.0,US,2249.0,1602.0,2378.0,2337.0,2210.0,1874.0,2069.0,1819.0,2524.0,2039.0,2111.0,1516.0,2023,온대,일반 차량,24728.0,Mohave / Borrego,29.17,승용차,SUV,SUV,
35.0,US,2440.0,2264.0,1898.0,2316.0,2282.0,2147.0,2401.0,2626.0,2329.0,2350.0,1957.0,2478.0,2023,온대,일반 차량,27488.0,Morning / Picanto,29.17,승용차,소형차,소형차,
36.0,US,1612.0,2125.0,2053.0,1546.0,1741.0,2433.0,2203.0,2022.0,2223.0,2162.0,2397.0,2172.0,2023,온대,일반 차량,24689.0,New Carens,29.17,총합,미니밴,미니밴,
37.0,US,2002.0,1965.0,2228.0,2014.0,1636.0,2463.0,2317.0,2587.0,2601.0,2182.0,1849.0,2426.0,2023,온대,일반 차량,26270.0,Niro,29.17,승용차,SUV,SUV,
38.0,US,1733.0,2450.0,2466.0,2402.0,2452.0,1787.0,2648.0,1929.0,2187.0,2159.0,2337.0,1855.0,2023,온대,일반 차량,26405.0,Niro EV,29.17,승용차,전기차,전기차,
39.0,US,1609.0,1907.0,2189.0,2312.0,1549.0,2383.0,2263.0,1686.0,2319.0,2143.0,2404.0,1846.0,2023,온대,일반 차량,24610.0,Niro Plus,29.17,승용차,SUV,SUV,
40.0,US,1603.0,1771.0,1734.0,2082.0,2340.0,2281.0,2540.0,2754.0,1714.0,2052.0,2430.0,2254.0,2023,온대,일반 차량,25555.0,Niro Plus EV,29.17,승용차,전기차,전기차,
41.0,US,1662.0,2267.0,1961.0,2289.0,1632.0,1914.0,2453.0,1888.0,2476.0,1719.0,1886.0,2153.0,2023,온대,일반 차량,24300.0,Optima / K5,29.17,승용차,세단,세단,
42.0,US,1515.0,1795.0,2127.0,1793.0,2494.0,1747.0,2089.0,1962.0,2374.0,2167.0,2083.0,1744.0,2023,온대,일반 차량,23890.0,PV5,29.17,상업용 차량,미니밴,미니밴,
43.0,US,1741.0,1880.0,1688.0,1672.0,2349.0,2093.0,2178.0,2240.0,1903.0,1884.0,2291.0,2351.0,2023,온대,일반 차량,24270.0,Pegas,29.17,총합,세단,세단,
44.0,US,2021.0,2079.0,2219.0,1742.0,2282.0,1851.0,1770.0,2644.0,1939.0,1601.0,1921.0,2485.0,2023,온대,일반 차량,24554.0,Pride / Rio,29.17,승용차,소형차,소형차,
45.0,US,2450.0,1889.0,2098.0,2309.0,2357.0,2282.0,2042.0,1771.0,1748.0,2222.0,2389.0,2028.0,2023,온대,일반 차량,25585.0,Pride / Rio (FB),29.17,승용차,소형차,소형차,
46.0,US,1991.0,2274.0,2112.0,2216.0,1644.0,1993.0,2152.0,2521.0,2533.0,1523.0,1654.0,2426.0,2023,온대,일반 차량,25039.0,Pride / Rio (SC),29.17,승용차,소형차,소형차,
47.0,US,2369.0,1612.0,1997.0,2487.0,2345.0,1768.0,2196.0,2156.0,2135.0,1824.0,2072.0,1976.0,2023,온대,일반 차량,24937.0,Ray,29.17,승용차,소형차,소형차,
48.0,US,2192.0,1519.0,2317.0,2099.0,2365.0,2427.0,1888.0,2305.0,2502.0,1744.0,1988.0,2460.0,2023,온대,일반 차량,25806.0,Ray EV,29.17,승용차,전기차,전기차,
49.0,US,2316.0,1997.0,2283.0,2057.0,1613.0,2506.0,2318.0,2337.0,2603.0,2160.0,1510.0,1729.0,2023,온대,일반 차량,25429.0,Seltos,29.17,승용차,SUV,SUV,
50.0,US,1663.0,2296.0,1665.0,2262.0,1904.0,2194.0,1842.0,2461.0,2034.0,2170.0,1913.0,2213.0,2023,온대,일반 차량,24617.0,Seltos (CKD),29.17,승용차,SUV(CKD),SUV(CKD),
51.0,US,2455.0,2144.0,2385.0,1820.0,2428.0,2328.0,2323.0,2675.0,2039.0,1504.0,2354.0,1597.0,2023,온대,일반 차량,26052.0,Sonet,29.17,승용차,SUV,SUV,
52.0,US,2090.0,1863.0,1856.0,1791.0,2158.0,2571.0,2152.0,2362.0,2211.0,2211.0,2206.0,2311.0,2023,온대,일반 차량,25782.0,Sorento,29.17,승용차,SUV,SUV,
53.0,US,1618.0,1893.0,1860.0,1886.0,1810.0,1813.0,2203.0,1998.0,2159.0,1615.0,1686.0,2181.0,2023,온대,일반 차량,22722.0,Sorento (CKD),29.17,승용차,SUV(CKD),SUV(CKD),
54.0,US,1684.0,1678.0,1773.0,1757.0,1511.0,2319.0,2401.0,2628.0,2048.0,1533.0,2294.0,1919.0,2023,온대,일반 차량,23545.0,Soul,29.17,승용차,SUV,SUV,
55.0,US,2142.0,1927.0,1745.0,1743.0,1547.0,2028.0,2126.0,2251.0,1758.0,1504.0,2215.0,1878.0,2023,온대,일반 차량,22864.0,Soul (CKD),29.17,승용차,SUV(CKD),SUV(CKD),
56.0,US,2004.0,2313.0,1614.0,2036.0,2166.0,2583.0,2248.0,2340.0,1902.0,1683.0,1838.0,2112.0,2023,온대,일반 차량,24839.0,Soul EV,29.17,승용차,전기차,전기차,
57.0,US,2326.0,1752.0,2217.0,1960.0,2457.0,2149.0,2771.0,2114.0,2129.0,1921.0,1996.0,1740.0,2023,온대,일반 차량,25532.0,Sportage,29.17,승용차,SUV,SUV,
58.0,US,1729.0,1891.0,2127.0,1624.0,2431.0,1656.0,1887.0,1785.0,2174.0,1931.0,1631.0,1564.0,2023,온대,일반 차량,22430.0,Sportage(KX5),29.17,총합,SUV,SUV,
59.0,US,2241.0,1647.0,2150.0,2114.0,2415.0,2484.0,2344.0,2157.0,2283.0,2223.0,1519.0,1942.0,2023,온대,일반 차량,25519.0,Stinger,29.17,승용차,세단,세단,
60.0,US,1514.0,1610.0,2312.0,1612.0,2057.0,1935.0,2668.0,2157.0,2178.0,1632.0,1626.0,1903.0,2023,온대,일반 차량,23204.0,Stonic,29.17,승용차,SUV,SUV,
61.0,US,1800.0,1813.0,1627.0,2397.0,2025.0,1803.0,1750.0,2309.0,2207.0,1940.0,1996.0,1796.0,2023,온대,일반 차량,23463.0,Syros,29.17,휴양용 차량,SUV,SUV,
62.0,US,2300.0,2227.0,1690.0,1714.0,2473.0,2164.0,2177.0,2493.0,2340.0,1933.0,1660.0,2390.0,2023,온대,일반 차량,25561.0,Tasman,29.17,휴양용 차량,SUV,SUV,
63.0,US,2024.0,1619.0,1899.0,1714.0,2143.0,1954.0,1733.0,2339.0,2216.0,2499.0,2121.0,1999.0,2023,온대,일반 차량,24260.0,Tasman (CKD),29.17,휴양용 차량,SUV(CKD),SUV(CKD),
64.0,US,1805.0,1693.0,1707.0,2085.0,1905.0,2040.0,2134.0,2573.0,1731.0,2430.0,1519.0,1771.0,2023,온대,일반 차량,23393.0,Telluride,29.17,승용차,SUV,SUV,
65.0,US,2309.0,1700.0,1625.0,2081.0,2281.0,2373.0,2245.0,2531.0,2414.0,2208.0,2305.0,2404.0,2023,온대,일반 차량,26476.0,Zhipao,29.17,총합,SUV,SUV,
396.0,Canada,538.0,463.0,324.0,301.0,436.0,825.0,932.0,768.0,929.0,644.0,537.0,537.0,2023,한랭,일반 차량,7234.0,Bongo,2.14,상업용 차량,상업용차,상업용차,
397.0,Canada,759.0,778.0,436.0,712.0,566.0,766.0,977.0,635.0,530.0,522.0,478.0,553.0,2023,한랭,일반 차량,7712.0,Bongo (CKD),2.14,상업용 차량,상업용차(CKD),상업용차(CKD),
398.0,Canada,383.0,330.0,712.0,655.0,573.0,837.0,699.0,887.0,992.0,524.0,773.0,657.0,2023,한랭,일반 차량,8022.0,Bongo / Frontier,2.14,상업용 차량,상업용차,상업용차,
399.0,Canada,646.0,628.0,352.0,749.0,494.0,610.0,687.0,1078.0,573.0,438.0,553.0,631.0,2023,한랭,일반 차량,7439.0,Bongo EV,2.14,상업용 차량,전기차,전기차,
400.0,Canada,449.0,782.0,469.0,459.0,300.0,708.0,864.0,482.0,662.0,663.0,377.0,629.0,2023,한랭,일반 차량,6844.0,Bus,2.14,상업용 차량,상업용차,상업용차,
401.0,Canada,327.0,386.0,535.0,520.0,412.0,724.0,658.0,788.0,751.0,327.0,465.0,626.0,2023,한랭,일반 차량,6519.0,Bus (CKD),2.14,상업용 차량,상업용차(CKD),상업용차(CKD),
402.0,Canada,774.0,400.0,665.0,523.0,405.0,930.0,869.0,728.0,610.0,347.0,631.0,657.0,2023,한랭,일반 차량,7539.0,Carens MPV,2.14,승용차,미니밴,미니밴,
403.0,Canada,541.0,632.0,336.0,747.0,325.0,832.0,725.0,445.0,1032.0,357.0,342.0,543.0,2023,한랭,일반 차량,6857.0,Carens MPV EV,2.14,CKD(특수 차량),미니밴(전기차),미니밴(전기차),
404.0,Canada,772.0,665.0,656.0,300.0,783.0,981.0,697.0,1007.0,501.0,623.0,340.0,358.0,2023,한랭,일반 차량,7683.0,Carnival,2.14,승용차,미니밴,미니밴,
405.0,Canada,652.0,734.0,317.0,413.0,422.0,525.0,839.0,904.0,618.0,682.0,336.0,342.0,2023,한랭,일반 차량,6784.0,Carnival (CKD),2.14,승용차,미니밴(CKD),미니밴(CKD),
406.0,Canada,509.0,370.0,586.0,787.0,502.0,867.0,610.0,807.0,819.0,384.0,570.0,550.0,2023,한랭,일반 차량,7361.0,Carnival / Sedona,2.14,승용차,미니밴,미니밴,
407.0,Canada,712.0,782.0,300.0,340.0,564.0,749.0,580.0,540.0,444.0,441.0,630.0,589.0,2023,한랭,일반 차량,6671.0,Cee'd,2.14,CKD(특수 차량),세단,세단,
408.0,Canada,300.0,339.0,772.0,393.0,449.0,739.0,705.0,810.0,654.0,698.0,307.0,416.0,2023,한랭,일반 차량,6582.0,Cee'd CUV,2.14,CKD(특수 차량),SUV,SUV,
409.0,Canada,534.0,648.0,573.0,489.0,556.0,846.0,584.0,516.0,828.0,603.0,444.0,614.0,2023,한랭,일반 차량,7235.0,EV2,2.14,휴양용 차량,전기차,전기차,
410.0,Canada,566.0,631.0,693.0,588.0,496.0,865.0,491.0,540.0,795.0,632.0,765.0,744.0,2023,한랭,일반 차량,7806.0,EV3,2.14,휴양용 차량,전기차,전기차,
411.0,Canada,760.0,731.0,504.0,623.0,700.0,856.0,983.0,627.0,756.0,327.0,797.0,673.0,2023,한랭,일반 차량,8337.0,EV4,2.14,휴양용 차량,전기차,전기차,
412.0,Canada,797.0,587.0,324.0,662.0,430.0,565.0,612.0,939.0,1004.0,622.0,737.0,326.0,2023,한랭,일반 차량,7605.0,EV5,2.14,휴양용 차량,전기차,전기차,
413.0,Canada,430.0,546.0,768.0,529.0,769.0,714.0,589.0,890.0,925.0,697.0,687.0,320.0,2023,한랭,일반 차량,7864.0,EV6,2.14,휴양용 차량,전기차,전기차,
414.0,Canada,609.0,593.0,434.0,556.0,535.0,845.0,796.0,843.0,582.0,539.0,624.0,603.0,2023,한랭,일반 차량,7559.0,EV9,2.14,휴양용 차량,전기차,전기차,
415.0,Canada,494.0,361.0,605.0,776.0,763.0,592.0,592.0,615.0,926.0,547.0,773.0,302.0,2023,한랭,일반 차량,7346.0,Forte,2.14,승용차,세단,세단,
416.0,Canada,368.0,501.0,604.0,547.0,717.0,1016.0,680.0,793.0,519.0,376.0,377.0,638.0,2023,한랭,일반 차량,7136.0,K3,2.14,승용차,세단,세단,
417.0,Canada,758.0,535.0,768.0,471.0,389.0,914.0,689.0,689.0,810.0,523.0,749.0,576.0,2023,한랭,일반 차량,7871.0,K3 (CKD),2.14,승용차,세단(CKD),세단(CKD),
418.0,Canada,732.0,682.0,660.0,670.0,779.0,500.0,724.0,1000.0,815.0,769.0,358.0,529.0,2023,한랭,일반 차량,8218.0,K4,2.14,승용차,세단,세단,
419.0,Canada,331.0,386.0,470.0,483.0,338.0,699.0,490.0,941.0,862.0,466.0,406.0,788.0,2023,한랭,일반 차량,6660.0,K5 / Optima,2.14,승용차,세단,세단,
420.0,Canada,622.0,592.0,703.0,754.0,370.0,608.0,803.0,793.0,797.0,423.0,325.0,656.0,2023,한랭,일반 차량,7446.0,"K7, K8 / Cadenza",2.14,승용차,세단,세단,
421.0,Canada,444.0,578.0,595.0,769.0,545.0,667.0,630.0,896.0,523.0,761.0,724.0,712.0,2023,한랭,일반 차량,7844.0,"K7,8 / Cadenza",2.14,총합,세단,세단,
422.0,Canada,631.0,656.0,388.0,558.0,568.0,588.0,911.0,713.0,543.0,561.0,373.0,687.0,2023,한랭,일반 차량,7177.0,K9,2.14,승용차,세단,세단,
423.0,Canada,493.0,555.0,387.0,643.0,565.0,699.0,587.0,592.0,874.0,611.0,710.0,720.0,2023,한랭,일반 차량,7436.0,KX1,2.14,승용차,SUV,SUV,
424.0,Canada,792.0,336.0,641.0,679.0,785.0,620.0,782.0,813.0,465.0,733.0,338.0,674.0,2023,한랭,일반 차량,7658.0,KX3,2.14,승용차,SUV,SUV,
425.0,Canada,595.0,410.0,533.0,482.0,556.0,510.0,772.0,599.0,795.0,323.0,577.0,680.0,2023,한랭,일반 차량,6832.0,KX3 / Seltos,2.14,총합,SUV,SUV,
426.0,Canada,542.0,424.0,544.0,514.0,674.0,600.0,774.0,884.0,710.0,557.0,781.0,619.0,2023,한랭,일반 차량,7623.0,KX5 / Sportage,2.14,승용차,SUV,SUV,
427.0,Canada,362.0,491.0,638.0,749.0,782.0,575.0,828.0,730.0,575.0,336.0,734.0,525.0,2023,한랭,일반 차량,7325.0,KX7,2.14,승용차,SUV,SUV,
428.0,Canada,346.0,548.0,382.0,547.0,751.0,646.0,688.0,726.0,976.0,480.0,541.0,316.0,2023,한랭,일반 차량,6947.0,Millitary,2.14,특수 차량,특수차,특수차,
429.0,Canada,366.0,797.0,580.0,758.0,589.0,571.0,652.0,747.0,1017.0,747.0,702.0,325.0,2023,한랭,일반 차량,7851.0,Millitary (CKD),2.14,특수 차량,특수차(CKD),특수차(CKD),
430.0,Canada,442.0,670.0,539.0,625.0,729.0,602.0,666.0,999.0,736.0,302.0,375.0,435.0,2023,한랭,일반 차량,7120.0,Mohave / Borrego,2.14,승용차,SUV,SUV,
431.0,Canada,739.0,701.0,732.0,393.0,333.0,911.0,1004.0,612.0,662.0,773.0,624.0,361.0,2023,한랭,일반 차량,7845.0,Morning / Picanto,2.14,승용차,소형차,소형차,
432.0,Canada,376.0,758.0,599.0,352.0,508.0,642.0,517.0,839.0,743.0,490.0,400.0,318.0,2023,한랭,일반 차량,6542.0,New Carens,2.14,총합,미니밴,미니밴,
433.0,Canada,654.0,467.0,580.0,339.0,378.0,862.0,489.0,836.0,721.0,799.0,632.0,414.0,2023,한랭,일반 차량,7171.0,Niro,2.14,승용차,SUV,SUV,
434.0,Canada,766.0,373.0,642.0,635.0,500.0,805.0,777.0,905.0,999.0,728.0,471.0,752.0,2023,한랭,일반 차량,8353.0,Niro EV,2.14,승용차,전기차,전기차,
435.0,Canada,788.0,677.0,779.0,327.0,371.0,890.0,630.0,804.0,1007.0,698.0,442.0,581.0,2023,한랭,일반 차량,7994.0,Niro Plus,2.14,승용차,SUV,SUV,
436.0,Canada,748.0,743.0,644.0,662.0,587.0,687.0,895.0,607.0,623.0,773.0,305.0,405.0,2023,한랭,일반 차량,7679.0,Niro Plus EV,2.14,승용차,전기차,전기차,
437.0,Canada,553.0,581.0,629.0,505.0,574.0,747.0,965.0,609.0,1020.0,487.0,611.0,389.0,2023,한랭,일반 차량,7670.0,Optima / K5,2.14,승용차,세단,세단,
438.0,Canada,567.0,584.0,495.0,546.0,750.0,601.0,682.0,648.0,507.0,454.0,561.0,427.0,2023,한랭,일반 차량,6822.0,PV5,2.14,상업용 차량,미니밴,미니밴,
439.0,Canada,380.0,470.0,579.0,771.0,432.0,562.0,466.0,733.0,536.0,751.0,475.0,728.0,2023,한랭,일반 차량,6883.0,Pegas,2.14,총합,세단,세단,
440.0,Canada,516.0,566.0,380.0,381.0,688.0,594.0,824.0,797.0,588.0,309.0,609.0,524.0,2023,한랭,일반 차량,6776.0,Pride / Rio,2.14,승용차,소형차,소형차,
441.0,Canada,558.0,517.0,630.0,705.0,579.0,563.0,499.0,744.0,834.0,779.0,648.0,498.0,2023,한랭,일반 차량,7554.0,Pride / Rio (FB),2.14,승용차,소형차,소형차,
442.0,Canada,623.0,581.0,672.0,421.0,331.0,557.0,779.0,879.0,526.0,705.0,526.0,581.0,2023,한랭,일반 차량,7181.0,Pride / Rio (SC),2.14,승용차,소형차,소형차,
443.0,Canada,650.0,475.0,672.0,369.0,594.0,464.0,696.0,642.0,863.0,470.0,374.0,343.0,2023,한랭,일반 차량,6612.0,Ray,2.14,승용차,소형차,소형차,
444.0,Canada,475.0,534.0,525.0,621.0,508.0,493.0,799.0,737.0,676.0,741.0,412.0,715.0,2023,한랭,일반 차량,7236.0,Ray EV,2.14,승용차,전기차,전기차,
445.0,Canada,342.0,307.0,672.0,697.0,733.0,609.0,677.0,998.0,698.0,677.0,548.0,699.0,2023,한랭,일반 차량,7657.0,Seltos,2.14,승용차,SUV,SUV,
446.0,Canada,625.0,764.0,694.0,625.0,659.0,1010.0,726.0,971.0,876.0,777.0,600.0,450.0,2023,한랭,일반 차량,8777.0,Seltos (CKD),2.14,승용차,SUV(CKD),SUV(CKD),
447.0,Canada,740.0,495.0,578.0,390.0,341.0,596.0,988.0,864.0,568.0,547.0,693.0,561.0,2023,한랭,일반 차량,7361.0,Sonet,2.14,승용차,SUV,SUV,
448.0,Canada,562.0,526.0,754.0,425.0,548.0,787.0,505.0,739.0,682.0,516.0,719.0,361.0,2023,한랭,일반 차량,7124.0,Sorento,2.14,승용차,SUV,SUV,
449.0,Canada,428.0,698.0,344.0,465.0,452.0,1031.0,519.0,415.0,686.0,530.0,446.0,601.0,2023,한랭,일반 차량,6615.0,Sorento (CKD),2.14,승용차,SUV(CKD),SUV(CKD),
450.0,Canada,334.0,555.0,392.0,596.0,624.0,823.0,718.0,839.0,719.0,750.0,605.0,362.0,2023,한랭,일반 차량,7317.0,Soul,2.14,승용차,SUV,SUV,
451.0,Canada,464.0,737.0,720.0,408.0,546.0,861.0,901.0,652.0,966.0,472.0,302.0,445.0,2023,한랭,일반 차량,7474.0,Soul (CKD),2.14,승용차,SUV(CKD),SUV(CKD),
452.0,Canada,489.0,716.0,404.0,555.0,460.0,895.0,733.0,999.0,644.0,794.0,640.0,579.0,2023,한랭,일반 차량,7908.0,Soul EV,2.14,승용차,전기차,전기차,
453.0,Canada,775.0,577.0,438.0,460.0,578.0,720.0,650.0,1031.0,711.0,344.0,708.0,713.0,2023,한랭,일반 차량,7705.0,Sportage,2.14,승용차,SUV,SUV,
454.0,Canada,413.0,648.0,384.0,336.0,380.0,686.0,900.0,509.0,851.0,474.0,408.0,586.0,2023,한랭,일반 차량,6575.0,Sportage(KX5),2.14,총합,SUV,SUV,
455.0,Canada,446.0,446.0,705.0,684.0,426.0,653.0,583.0,699.0,538.0,431.0,761.0,445.0,2023,한랭,일반 차량,6817.0,Stinger,2.14,승용차,세단,세단,
456.0,Canada,735.0,799.0,702.0,577.0,721.0,831.0,802.0,688.0,480.0,408.0,737.0,451.0,2023,한랭,일반 차량,7931.0,Stonic,2.14,승용차,SUV,SUV,
457.0,Canada,550.0,639.0,605.0,344.0,677.0,695.0,521.0,1048.0,673.0,523.0,609.0,703.0,2023,한랭,일반 차량,7587.0,Syros,2.14,휴양용 차량,SUV,SUV,
458.0,Canada,752.0,559.0,375.0,767.0,699.0,803.0,712.0,852.0,834.0,399.0,343.0,642.0,2023,한랭,일반 차량,7737.0,Tasman,2.14,휴양용 차량,SUV,SUV,
459.0,Canada,507.0,668.0,444.0,523.0,310.0,552.0,832.0,722.0,809.0,440.0,394.0,451.0,2023,한랭,일반 차량,6652.0,Tasman (CKD),2.14,휴양용 차량,SUV(CKD),SUV(CKD),
460.0,Canada,433.0,585.0,761.0,483.0,423.0,972.0,721.0,799.0,694.0,581.0,444.0,677.0,2023,한랭,일반 차량,7573.0,Telluride,2.14,승용차,SUV,SUV,
